Agency Type,Destination,Net Sales,Commision (in value),Age,Claim
Airlines,MALAYSIA,22,7.7,61,No
Airlines,HONG KONG,26,9.1,30,No
Airlines,PHILIPPINES,18,6.3,47,No
Airlines,THAILAND,18,6.3,37,No
Airlines,THAILAND,22,7.7,45,No
Airlines,UNITED KINGDOM,109,38.15,42,No
Travel Agency,MALAYSIA,29,9.57,8,No
Travel Agency,FRANCE,75,28.5,22,No
Airlines,MALAYSIA,25.7,8.99,48,No
Airlines,SINGAPORE,23.4,5.85,32,No
Airlines,SINGAPORE,443.3,110.83,83,No
Airlines,SINGAPORE,30.55,7.64,25,No
Airlines,SINGAPORE,29.9,7.47,25,No
Airlines,SINGAPORE,71,17.75,33,No
Airlines,SINGAPORE,32.5,8.13,22,No
Airlines,SINGAPORE,109,27.25,32,No
Airlines,SINGAPORE,19.5,4.88,35,No
Airlines,SINGAPORE,47.45,11.86,30,No
Airlines,SINGAPORE,47.45,11.86,23,No
Airlines,SINGAPORE,187.85,46.96,63,No
Airlines,SINGAPORE,252.85,63.21,51,No
Travel Agency,AUSTRALIA,0,29.7,47,No
Travel Agency,AUSTRALIA,59.4,35.64,49,No
Travel Agency,PHILIPPINES,29.7,17.82,37,No
Travel Agency,AUSTRALIA,19.8,11.88,59,No
Travel Agency,AUSTRALIA,0,41.58,30,No
Travel Agency,NORWAY,0,23.76,56,No
Travel Agency,JAPAN,59.4,35.64,46,No
Travel Agency,UNITED STATES,0,23.76,49,No
Travel Agency,UNITED KINGDOM,0,47.52,33,No
Travel Agency,GREECE,0,65.34,31,No
Travel Agency,NETHERLANDS,9.9,5.94,54,No
Travel Agency,AUSTRALIA,39.6,23.76,31,No
Travel Agency,FRANCE,69.3,41.58,49,No
Travel Agency,MALAYSIA,19.8,11.88,36,No
Travel Agency,CANADA,29.7,17.82,71,No
Travel Agency,JAPAN,0,11.88,38,No
Travel Agency,UNITED STATES,9.9,5.94,71,No
Travel Agency,AUSTRALIA,49.5,29.7,44,No
Travel Agency,AUSTRALIA,158.4,95.04,41,No
Travel Agency,AUSTRALIA,59.4,35.64,38,No
Travel Agency,AUSTRALIA,39.6,23.76,56,No
Travel Agency,ITALY,0,89.1,58,No
Travel Agency,AUSTRALIA,39.6,23.76,56,No
Travel Agency,SPAIN,108.9,65.34,42,No
Travel Agency,CZECH REPUBLIC,79.2,47.52,47,No
Travel Agency,AUSTRALIA,49.5,29.7,59,No
Travel Agency,AUSTRALIA,39.6,23.76,49,No
Travel Agency,THAILAND,39.6,23.76,56,No
Travel Agency,NORWAY,99,59.4,46,No
Travel Agency,NETHERLANDS,29.7,17.82,35,No
Travel Agency,AUSTRALIA,89.1,53.46,48,No
Travel Agency,MALAYSIA,39.6,23.76,46,No
Travel Agency,AUSTRALIA,9.9,5.94,62,No
Travel Agency,DENMARK,29.7,17.82,33,No
Travel Agency,FRANCE,148.5,89.1,41,No
Travel Agency,NORWAY,29.7,17.82,31,No
Travel Agency,AUSTRALIA,29.7,17.82,28,No
Travel Agency,SOUTH AFRICA,39.6,23.76,31,No
Travel Agency,MALAYSIA,29.7,17.82,45,No
Travel Agency,THAILAND,49.5,29.7,31,No
Travel Agency,SINGAPORE,112,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",80,0,23,No
Travel Agency,FRANCE,86,0,36,No
Travel Agency,HONG KONG,20,0,23,No
Travel Agency,JAPAN,112,0,36,No
Travel Agency,THAILAND,29,0,38,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,THAILAND,20,0,42,No
Travel Agency,PHILIPPINES,20,0,36,No
Travel Agency,INDIA,37,0,36,No
Travel Agency,ITALY,69,0,36,No
Travel Agency,CHINA,59,0,36,No
Travel Agency,VIET NAM,31,0,36,No
Travel Agency,INDIA,38,0,36,No
Travel Agency,HONG KONG,21,0,36,No
Travel Agency,INDONESIA,31,0,36,No
Travel Agency,UNITED ARAB EMIRATES,105,0,36,No
Travel Agency,CHINA,32,0,36,No
Travel Agency,THAILAND,35,0,36,No
Travel Agency,HONG KONG,20,0,45,No
Travel Agency,BELGIUM,26,0,36,No
Travel Agency,PHILIPPINES,40,0,36,No
Travel Agency,MALAYSIA,25,0,47,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,HONG KONG,20,0,36,No
Travel Agency,SINGAPORE,112,0,54,No
Travel Agency,CHINA,72,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",34,0,36,No
Travel Agency,CHINA,22,0,36,No
Travel Agency,HONG KONG,22,0,36,No
Travel Agency,MALAYSIA,32,0,35,No
Travel Agency,CHINA,63,0,36,No
Travel Agency,HONG KONG,68,0,36,Yes
Travel Agency,ICELAND,112,0,36,No
Travel Agency,MALAYSIA,32,0,37,No
Travel Agency,CHINA,26,0,36,No
Travel Agency,CHINA,20,0,36,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,SINGAPORE,11,0,36,No
Travel Agency,THAILAND,13,0,49,No
Travel Agency,NEPAL,24,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",25,0,32,No
Travel Agency,RUSSIAN FEDERATION,10,0,36,No
Travel Agency,RUSSIAN FEDERATION,10,0,43,No
Travel Agency,SINGAPORE,13,0,36,No
Travel Agency,THAILAND,19,0,36,No
Travel Agency,INDIA,10,0,36,No
Travel Agency,PHILIPPINES,12,0,36,No
Travel Agency,RUSSIAN FEDERATION,29,0,36,No
Travel Agency,THAILAND,35,0,46,No
Travel Agency,INDIA,16,0,36,No
Travel Agency,POLAND,79,0,36,No
Travel Agency,VIET NAM,20,0,36,No
Travel Agency,CHINA,17,0,36,No
Travel Agency,INDIA,32,0,36,No
Travel Agency,UNITED STATES,80,0,30,No
Travel Agency,DENMARK,58,0,36,No
Travel Agency,CHINA,13,0,36,No
Travel Agency,SWITZERLAND,80,0,36,No
Travel Agency,PHILIPPINES,13,0,26,No
Travel Agency,THAILAND,18,0,35,No
Travel Agency,MALAYSIA,12,0,33,No
Travel Agency,INDONESIA,13,0,36,No
Travel Agency,MALAYSIA,39,0,36,No
Travel Agency,UNITED KINGDOM,14,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,THAILAND,13,0,36,No
Travel Agency,CHINA,15,0,36,No
Travel Agency,SRI LANKA,28,0,36,No
Travel Agency,INDIA,24,0,36,No
Travel Agency,LAO PEOPLE'S DEMOCRATIC REPUBLIC,26,0,36,No
Travel Agency,JAPAN,38,0,36,No
Travel Agency,UNITED STATES,10,0,23,No
Travel Agency,INDIA,21,0,36,No
Travel Agency,CHINA,18,0,36,No
Travel Agency,SWITZERLAND,14,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,NEW ZEALAND,63,0,36,No
Travel Agency,BANGLADESH,40,0,36,No
Travel Agency,THAILAND,25,0,64,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,UNITED STATES,80,0,46,No
Travel Agency,SINGAPORE,11,0,36,No
Travel Agency,HONG KONG,19,0,36,No
Travel Agency,CAMBODIA,12,0,36,No
Travel Agency,MALAYSIA,17,0,64,No
Travel Agency,"KOREA, REPUBLIC OF",23,0,36,No
Travel Agency,CHINA,10,0,36,No
Travel Agency,SINGAPORE,10,0,36,No
Travel Agency,INDONESIA,20,0,45,No
Travel Agency,UNITED ARAB EMIRATES,20,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",20,0,23,No
Travel Agency,VIET NAM,20,0,39,Yes
Travel Agency,UNITED KINGDOM,109,41.42,48,No
Airlines,BRUNEI DARUSSALAM,15,6,28,No
Airlines,SINGAPORE,2.47,0.69,48,No
Airlines,SINGAPORE,0.77,0.22,48,No
Airlines,SINGAPORE,0.77,0.22,48,No
Airlines,"KOREA, REPUBLIC OF",35,12.25,56,No
Airlines,CHINA,26,9.1,50,No
Airlines,HONG KONG,26,9.1,47,No
Airlines,HONG KONG,35,12.25,28,No
Airlines,CHINA,22,7.7,62,No
Airlines,CHINA,22,7.7,26,No
Airlines,MALAYSIA,18,6.3,67,No
Airlines,HONG KONG,26,9.1,31,No
Airlines,MALAYSIA,18,6.3,43,No
Airlines,"TAIWAN, PROVINCE OF CHINA",35,12.25,22,No
Airlines,HONG KONG,26,9.1,44,No
Airlines,PHILIPPINES,37,12.95,39,No
Airlines,HONG KONG,26,9.1,37,No
Airlines,MALAYSIA,22,7.7,45,No
Airlines,UNITED STATES,183,64.05,55,No
Airlines,MALAYSIA,7.86,2.75,48,No
Airlines,SINGAPORE,61.1,15.28,29,No
Airlines,SINGAPORE,38.35,9.59,24,No
Airlines,SINGAPORE,93.6,23.4,62,No
Airlines,SINGAPORE,70.85,17.71,77,No
Airlines,SINGAPORE,32.5,8.13,27,No
Airlines,SINGAPORE,109,27.25,47,No
Airlines,SINGAPORE,102.05,25.51,42,No
Airlines,SINGAPORE,43.55,10.89,38,No
Airlines,SINGAPORE,118.3,29.57,23,No
Airlines,SINGAPORE,252.85,63.21,34,No
Airlines,SINGAPORE,252.85,63.21,39,Yes
Airlines,SINGAPORE,187.85,46.96,34,No
Airlines,SINGAPORE,252.85,63.21,48,No
Airlines,SINGAPORE,252.85,63.21,48,No
Airlines,SINGAPORE,252.85,63.21,30,No
Travel Agency,UNITED STATES,118.8,71.28,51,No
Travel Agency,"KOREA, REPUBLIC OF",49.5,29.7,58,No
Travel Agency,AUSTRALIA,79.2,47.52,56,No
Travel Agency,AUSTRALIA,59.4,35.64,49,No
Travel Agency,AUSTRALIA,49.5,29.7,38,No
Travel Agency,AUSTRALIA,49.5,29.7,35,No
Travel Agency,MALAYSIA,0,11.88,30,No
Travel Agency,MALAYSIA,29.7,17.82,46,No
Travel Agency,"KOREA, REPUBLIC OF",29.7,17.82,57,No
Travel Agency,THAILAND,39.6,23.76,36,No
Travel Agency,NETHERLANDS,69.3,41.58,51,No
Travel Agency,UNITED KINGDOM,29.7,17.82,29,No
Travel Agency,MALAYSIA,0,17.82,55,No
Travel Agency,ISRAEL,59.4,35.64,31,No
Travel Agency,AUSTRALIA,39.6,23.76,41,No
Travel Agency,AUSTRALIA,39.6,23.76,29,No
Travel Agency,NEW ZEALAND,79.2,47.52,35,No
Travel Agency,MALAYSIA,0,5.94,47,No
Travel Agency,UNITED KINGDOM,79.2,47.52,54,No
Travel Agency,UNITED KINGDOM,59.4,35.64,57,No
Travel Agency,NETHERLANDS,0,5.94,31,No
Travel Agency,AUSTRALIA,79.2,47.52,31,No
Travel Agency,AUSTRALIA,0,11.88,31,No
Travel Agency,UNITED KINGDOM,39.6,23.76,54,No
Travel Agency,AUSTRALIA,49.5,29.7,48,No
Travel Agency,NEW ZEALAND,118.8,71.28,30,No
Travel Agency,THAILAND,19.8,11.88,42,No
Travel Agency,UNITED STATES,0,83.16,41,No
Travel Agency,THAILAND,39.6,23.76,43,No
Travel Agency,AUSTRALIA,49.5,29.7,56,No
Travel Agency,FRANCE,39.6,23.76,52,No
Travel Agency,UNITED STATES,19.8,11.88,33,No
Travel Agency,MALAYSIA,39.6,23.76,48,No
Travel Agency,AUSTRALIA,59.4,35.64,51,No
Travel Agency,THAILAND,19.8,11.88,42,No
Travel Agency,AUSTRALIA,49.5,29.7,39,No
Travel Agency,PORTUGAL,69.3,41.58,48,No
Travel Agency,HONG KONG,30,0,36,No
Travel Agency,VIET NAM,20,0,36,No
Travel Agency,CAMBODIA,0,0,36,No
Travel Agency,INDIA,28,0,36,No
Travel Agency,HONG KONG,26,0,36,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,HONG KONG,21,0,36,No
Travel Agency,CAMBODIA,32,0,36,No
Travel Agency,CHINA,32,0,36,No
Travel Agency,HONG KONG,26,0,36,No
Travel Agency,CHINA,44,0,36,No
Travel Agency,CHINA,39,0,36,No
Travel Agency,CANADA,112,0,27,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,INDIA,22,0,36,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,GERMANY,81,0,36,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,CHINA,29,0,36,No
Travel Agency,SINGAPORE,30,0,36,No
Travel Agency,CHINA,37,0,36,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,CHINA,21,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",38,0,36,No
Travel Agency,JAPAN,75,0,36,No
Travel Agency,THAILAND,23,0,71,No
Travel Agency,AUSTRALIA,45,0,36,No
Travel Agency,JAPAN,31,0,36,No
Travel Agency,UNITED KINGDOM,79,0,36,No
Travel Agency,HUNGARY,108,0,36,No
Travel Agency,PHILIPPINES,35,0,36,No
Travel Agency,LAO PEOPLE'S DEMOCRATIC REPUBLIC,20,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,HONG KONG,25,0,36,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,PHILIPPINES,65,0,36,No
Travel Agency,MALAYSIA,29,0,36,No
Travel Agency,UNITED STATES,98,0,29,No
Travel Agency,JAPAN,49,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",22,0,36,No
Travel Agency,PHILIPPINES,26,0,36,No
Travel Agency,VIET NAM,25,0,36,No
Travel Agency,INDONESIA,29,0,32,No
Travel Agency,MALAYSIA,20,0,30,No
Travel Agency,INDONESIA,29,0,31,No
Travel Agency,VIET NAM,45,0,36,No
Travel Agency,THAILAND,10,0,58,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",18,0,36,No
Travel Agency,JAPAN,38,0,36,No
Travel Agency,NEPAL,18,0,36,No
Travel Agency,CHINA,39,0,36,No
Travel Agency,INDONESIA,14,0,36,No
Travel Agency,AUSTRIA,12,0,36,No
Travel Agency,HONG KONG,15,0,36,No
Travel Agency,SPAIN,114,0,36,No
Travel Agency,MALAYSIA,12,0,36,No
Travel Agency,CHINA,16,0,36,No
Travel Agency,THAILAND,13,0,36,No
Travel Agency,SINGAPORE,14,0,36,No
Travel Agency,INDONESIA,34,0,36,No
Travel Agency,THAILAND,11,0,36,No
Travel Agency,VIET NAM,12,0,36,No
Travel Agency,CHINA,18,0,36,No
Travel Agency,INDONESIA,11,0,36,No
Travel Agency,THAILAND,23,0,36,No
Travel Agency,UNITED STATES,80,0,61,No
Travel Agency,CAMBODIA,12,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,MYANMAR,12,0,36,No
Travel Agency,SINGAPORE,22,0,36,No
Travel Agency,ITALY,41,0,36,No
Travel Agency,HONG KONG,10,0,36,No
Travel Agency,CANADA,20,0,54,No
Travel Agency,VIET NAM,10,0,36,No
Travel Agency,TURKEY,31,0,36,No
Travel Agency,MALAYSIA,17,0,36,No
Travel Agency,MALAYSIA,11,0,35,No
Travel Agency,SINGAPORE,10,0,40,No
Travel Agency,CANADA,16,0,23,No
Travel Agency,"KOREA, REPUBLIC OF",0,0,28,No
Travel Agency,CHINA,34,0,36,No
Travel Agency,AUSTRALIA,18,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",80,0,36,No
Travel Agency,CHINA,31,0,36,No
Travel Agency,UNITED STATES,34,0,44,No
Travel Agency,MONGOLIA,44,0,36,No
Travel Agency,PHILIPPINES,13,0,36,No
Travel Agency,GERMANY,10,0,36,No
Travel Agency,JAPAN,42,0,36,No
Travel Agency,JAPAN,80,0,36,No
Travel Agency,HONG KONG,19,0,36,No
Travel Agency,UNITED STATES,39,0,71,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",10,0,39,No
Travel Agency,INDIA,19,0,34,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,HONG KONG,18,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,FRANCE,80,0,36,No
Travel Agency,UNITED STATES,17,0,47,No
Travel Agency,CHINA,25,0,36,No
Travel Agency,AUSTRALIA,55,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,MOROCCO,14,0,36,No
Travel Agency,THAILAND,18,0,36,No
Travel Agency,SINGAPORE,15,0,36,No
Travel Agency,SPAIN,29,0,36,No
Travel Agency,SINGAPORE,10,0,58,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,JAPAN,48,0,36,No
Travel Agency,THAILAND,17,0,43,No
Travel Agency,THAILAND,10,0,41,No
Travel Agency,CHINA,25,0,36,No
Travel Agency,THAILAND,12,0,36,No
Travel Agency,INDIA,24,0,36,No
Travel Agency,INDIA,20,0,36,No
Travel Agency,PHILIPPINES,20,0,36,No
Travel Agency,SINGAPORE,27,0,36,No
Travel Agency,SWITZERLAND,20,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,MYANMAR,20,0,36,No
Travel Agency,HONG KONG,26,0,36,No
Travel Agency,NETHERLANDS,35,0,36,No
Travel Agency,GERMANY,20,0,36,No
Airlines,INDIA,31,12.4,118,No
Airlines,INDIA,93,37.2,118,No
Airlines,BRUNEI DARUSSALAM,15,6,53,No
Airlines,BRUNEI DARUSSALAM,15,6,33,No
Airlines,BRUNEI DARUSSALAM,15,6,19,No
Airlines,SINGAPORE,12.16,3.41,48,No
Airlines,SINGAPORE,10.04,2.81,48,No
Airlines,VIET NAM,22,7.7,35,No
Airlines,CHINA,44,15.4,33,No
Airlines,INDONESIA,22,7.7,28,No
Airlines,INDONESIA,30,10.5,41,No
Airlines,CHINA,22,7.7,33,No
Airlines,MALAYSIA,18,6.3,42,No
Airlines,VIET NAM,22,7.7,37,No
Airlines,HONG KONG,26,9.1,38,No
Airlines,PHILIPPINES,22,7.7,58,No
Airlines,CHINA,22,7.7,55,No
Airlines,INDONESIA,18,6.3,46,No
Airlines,AUSTRALIA,83,29.05,57,No
Airlines,HONG KONG,26,9.1,46,No
Airlines,CHINA,45,15.75,67,No
Airlines,AUSTRALIA,45,15.75,48,No
Airlines,"TAIWAN, PROVINCE OF CHINA",22,7.7,118,No
Travel Agency,THAILAND,29,9.57,66,No
Airlines,PHILIPPINES,4.68,1.64,48,No
Airlines,SINGAPORE,16.2,4.05,29,No
Airlines,SINGAPORE,17.55,4.39,33,No
Airlines,SINGAPORE,30.55,7.64,51,No
Airlines,SINGAPORE,65.65,16.41,26,No
Airlines,SINGAPORE,23.4,5.85,26,No
Airlines,SINGAPORE,30.55,7.64,24,No
Airlines,SINGAPORE,53.95,13.49,83,No
Airlines,SINGAPORE,58.8,14.7,24,No
Airlines,SINGAPORE,24.05,6.01,32,No
Airlines,SINGAPORE,252.85,63.21,38,No
Airlines,SINGAPORE,252.85,63.21,33,No
Airlines,SINGAPORE,252.85,63.21,43,No
Airlines,SINGAPORE,252.85,63.21,30,No
Airlines,SINGAPORE,252.85,63.21,29,No
Airlines,SINGAPORE,389.35,97.34,31,Yes
Travel Agency,ITALY,79.2,47.52,31,No
Travel Agency,NETHERLANDS,108.9,65.34,48,No
Travel Agency,UNITED KINGDOM,0,23.76,53,No
Travel Agency,DENMARK,158.4,95.04,41,No
Travel Agency,AUSTRALIA,188.1,112.86,47,No
Travel Agency,ITALY,118.8,71.28,59,No
Travel Agency,THAILAND,29.7,17.82,46,No
Travel Agency,SPAIN,9.9,5.94,51,No
Travel Agency,MALAYSIA,49.5,29.7,31,Yes
Travel Agency,ITALY,158.4,95.04,40,No
Travel Agency,AUSTRALIA,0,41.58,42,No
Travel Agency,NEW ZEALAND,99,59.4,53,No
Travel Agency,AUSTRALIA,59.4,35.64,27,No
Travel Agency,AUSTRALIA,29.7,17.82,27,No
Travel Agency,AUSTRALIA,89.1,53.46,31,No
Travel Agency,MALAYSIA,29.7,17.82,50,No
Travel Agency,THAILAND,39.6,23.76,39,No
Travel Agency,UNITED KINGDOM,29.7,17.82,27,No
Travel Agency,MALAYSIA,29.7,17.82,38,No
Travel Agency,AUSTRALIA,59.4,35.64,37,No
Travel Agency,THAILAND,39.6,23.76,31,No
Travel Agency,MALAYSIA,49.5,29.7,51,No
Travel Agency,AUSTRALIA,69.3,41.58,46,No
Travel Agency,AUSTRALIA,49.5,29.7,39,No
Travel Agency,AUSTRALIA,69.3,41.58,40,No
Travel Agency,IRELAND,118.8,71.28,56,No
Travel Agency,CANADA,19.8,11.88,65,No
Travel Agency,CANADA,59.4,35.64,50,No
Travel Agency,CAMBODIA,30,0,36,No
Travel Agency,SPAIN,112,0,36,No
Travel Agency,NEW ZEALAND,86,0,36,No
Travel Agency,CHINA,21,0,36,No
Travel Agency,HONG KONG,25,0,36,No
Travel Agency,SINGAPORE,43,0,36,No
Travel Agency,MALAYSIA,25,0,27,No
Travel Agency,CHINA,33,0,36,No
Travel Agency,UNITED KINGDOM,84,0,36,No
Travel Agency,VIET NAM,49,0,36,No
Travel Agency,HONG KONG,26,0,36,No
Travel Agency,INDONESIA,67,0,36,No
Travel Agency,HONG KONG,22,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,SINGAPORE,36,0,36,No
Travel Agency,INDONESIA,46,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,UNITED ARAB EMIRATES,49,0,55,No
Travel Agency,PHILIPPINES,31,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,PHILIPPINES,37,0,36,No
Travel Agency,JAPAN,55,0,36,No
Travel Agency,LAO PEOPLE'S DEMOCRATIC REPUBLIC,39,0,36,No
Travel Agency,THAILAND,20,0,47,No
Travel Agency,LAO PEOPLE'S DEMOCRATIC REPUBLIC,38,0,36,No
Travel Agency,HONG KONG,59,0,36,No
Travel Agency,JAPAN,54,0,36,No
Travel Agency,HONG KONG,21,0,36,No
Travel Agency,AUSTRALIA,57,0,36,No
Travel Agency,CHINA,65,0,36,No
Travel Agency,HONG KONG,26,0,36,No
Travel Agency,HONG KONG,33,0,36,No
Travel Agency,ITALY,20,0,36,No
Travel Agency,CAMBODIA,25,0,36,No
Travel Agency,HONG KONG,20,0,36,No
Travel Agency,UNITED ARAB EMIRATES,42,0,36,No
Travel Agency,MALAYSIA,28,0,52,No
Travel Agency,MALAYSIA,34,0,51,No
Travel Agency,INDONESIA,39,0,36,No
Travel Agency,CHINA,55,0,36,No
Travel Agency,MALAYSIA,20,0,47,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,SINGAPORE,46,0,36,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,VIET NAM,25,0,36,No
Travel Agency,CHINA,33,0,36,No
Travel Agency,CHINA,37,0,36,No
Travel Agency,AUSTRALIA,48,0,36,No
Travel Agency,THAILAND,30,0,36,No
Travel Agency,NETHERLANDS,88,0,36,No
Travel Agency,AUSTRALIA,17,0,36,No
Travel Agency,INDONESIA,10,0,36,No
Travel Agency,MALAYSIA,10,0,49,No
Travel Agency,CHINA,35,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,SERBIA,10,0,36,No
Travel Agency,INDIA,10,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",13,0,46,No
Travel Agency,HONG KONG,18,0,36,No
Travel Agency,PHILIPPINES,12,0,29,No
Travel Agency,SINGAPORE,10,0,36,No
Travel Agency,CHINA,11,0,36,No
Travel Agency,MYANMAR,10,0,36,No
Travel Agency,CHINA,24,0,36,No
Travel Agency,UNITED STATES,80,0,24,No
Travel Agency,HONG KONG,15,0,36,No
Travel Agency,JAPAN,30,0,30,No
Travel Agency,MALAYSIA,29,0,64,No
Travel Agency,INDIA,10,0,36,No
Travel Agency,SINGAPORE,59,0,36,No
Travel Agency,INDONESIA,10,0,36,No
Travel Agency,PHILIPPINES,13,0,36,No
Travel Agency,UNITED STATES,10,0,42,No
Travel Agency,"KOREA, REPUBLIC OF",10,0,26,No
Travel Agency,PHILIPPINES,11,0,36,No
Travel Agency,UNITED STATES,10,0,42,No
Travel Agency,MALAYSIA,10,0,49,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",0,0,32,No
Travel Agency,GREECE,50,0,36,No
Travel Agency,INDIA,24,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",11,0,25,No
Travel Agency,CHINA,10,0,36,No
Travel Agency,THAILAND,22,0,36,No
Travel Agency,SRI LANKA,44,0,36,No
Travel Agency,JAPAN,41,0,36,No
Travel Agency,UNITED STATES,80,0,21,No
Travel Agency,MALAYSIA,11,0,36,No
Travel Agency,BRAZIL,16,0,36,No
Travel Agency,UNITED STATES,15,0,23,No
Travel Agency,SINGAPORE,80,0,36,No
Travel Agency,CANADA,76,0,29,No
Travel Agency,CANADA,76,0,29,No
Travel Agency,CHINA,70,0,36,No
Travel Agency,CANADA,12,0,26,No
Travel Agency,HONG KONG,18,0,36,No
Travel Agency,JAPAN,38,0,36,No
Travel Agency,LAO PEOPLE'S DEMOCRATIC REPUBLIC,13,0,36,No
Travel Agency,SINGAPORE,10,0,36,No
Travel Agency,JAPAN,34,0,36,No
Travel Agency,JAPAN,34,0,36,No
Travel Agency,CHINA,20,0,36,No
Travel Agency,INDONESIA,10,0,26,No
Travel Agency,HUNGARY,14,0,36,No
Travel Agency,AUSTRALIA,33,0,36,No
Travel Agency,CHINA,25,0,36,No
Travel Agency,THAILAND,10,0,44,No
Travel Agency,HONG KONG,13,0,36,No
Travel Agency,UNITED STATES,67,0,27,No
Travel Agency,UNITED STATES,14,0,48,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,CHINA,44,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",59,0,34,No
Travel Agency,SINGAPORE,10,0,36,No
Travel Agency,UNITED STATES,80,0,41,No
Travel Agency,THAILAND,14,0,36,No
Travel Agency,INDONESIA,38,0,36,No
Travel Agency,BANGLADESH,10,0,40,No
Travel Agency,CHINA,30,0,36,No
Travel Agency,SRI LANKA,28,0,36,No
Travel Agency,SINGAPORE,10,0,31,No
Travel Agency,INDIA,20,0,36,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,INDIA,33,0,36,No
Travel Agency,UNITED STATES,84,0,48,No
Travel Agency,SINGAPORE,0,0,36,No
Travel Agency,CHINA,33,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,THAILAND,20,0,36,No
Airlines,INDIA,93,37.2,118,No
Airlines,INDIA,50,20,118,No
Airlines,INDIA,31,12.4,118,No
Airlines,INDIA,39,15.6,118,No
Travel Agency,SPAIN,75,28.5,48,No
Airlines,BRUNEI DARUSSALAM,15,6,38,No
Airlines,BRUNEI DARUSSALAM,50,20,54,No
Airlines,SINGAPORE,7.59,2.13,48,No
Airlines,HONG KONG,22,7.7,41,No
Airlines,MALAYSIA,18,6.3,35,No
Airlines,"TAIWAN, PROVINCE OF CHINA",26,9.1,30,No
Airlines,"TAIWAN, PROVINCE OF CHINA",22,7.7,47,No
Airlines,MALAYSIA,18,6.3,60,No
Airlines,INDONESIA,22,7.7,35,No
Airlines,MALAYSIA,18,6.3,47,No
Airlines,HONG KONG,26,9.1,52,No
Airlines,MALAYSIA,18,6.3,42,No
Airlines,HONG KONG,26,9.1,27,No
Airlines,PHILIPPINES,42,14.7,44,No
Airlines,CHINA,26,9.1,57,Yes
Airlines,MYANMAR,18,6.3,27,No
Airlines,CHINA,22,7.7,60,No
Airlines,INDONESIA,30,10.5,38,No
Airlines,INDONESIA,42,14.7,41,No
Airlines,INDIA,40,14,17,No
Airlines,CHINA,26,9.1,47,Yes
Airlines,CHINA,0,9.1,39,No
Airlines,PHILIPPINES,42,14.7,41,No
Airlines,INDONESIA,37,12.95,42,No
Airlines,MYANMAR,18,6.3,28,No
Airlines,"KOREA, REPUBLIC OF",35,12.25,22,No
Airlines,THAILAND,33,11.55,31,No
Airlines,THAILAND,26,9.1,56,No
Airlines,THAILAND,26,9.1,56,No
Airlines,FINLAND,87,30.45,41,No
Airlines,HONG KONG,36,12.6,31,No
Travel Agency,MALAYSIA,29,9.57,118,No
